name,industry,symbol
Marksans Pharma Ltd.,PHARMA,MARKSANS
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI
Mayur Uniquoters Ltd.,TEXTILES,MAYURUNIQ
McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS
Mercator Ltd.,METALS,MERCATOR
Merck Ltd.,PHARMA,MERCK
Metalyst Forgings Ltd.,INDUSTRIAL MANUFACTURING,METALFORGE
MindTree Ltd.,IT,MINDTREE
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS
MphasiS Ltd.,IT,MPHASIS
Munjal Showa Ltd.,AUTOMOBILE,MUNJALSHOW
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN
NATCO Pharma Ltd.,PHARMA,NATCOPHARM
NCC Ltd.,CONSTRUCTION,NCC
NDTV Ltd.,MEDIA & ENTERTAINMENT,NDTV
NHPC Ltd.,ENERGY,NHPC
NIIT Ltd.,IT,NIITLTD
NIIT Technologies Ltd.,IT,NIITTECH
NMDC Ltd.,METALS,NMDC
NOCIL Ltd.,CHEMICALS,NOCIL
NTPC Ltd.,ENERGY,NTPC
National Aluminium Co. Ltd.,METALS,NATIONALUM
National Buildings Construction Corporation Ltd.,CONSTRUCTION,NBCC
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES
Navneet Education Ltd.,MEDIA & ENTERTAINMENT,NAVNETEDUL
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18
Neyveli Lignite Corporation Ltd.,ENERGY,NEYVELILIG
Nitin Fire Protection Industries Ltd.,INDUSTRIAL MANUFACTURING,NITINFIRE
Noida-Toll Bridge Co. Ltd.,SERVICES,NOIDATOLL
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC
Oil India Ltd.,ENERGY,OIL
Omaxe Ltd.,CONSTRUCTION,OMAXE
Opto Circuits (I) Ltd.,PHARMA,OPTOCIRCUI
Oracle Financial Services Software Ltd.,IT,OFSS
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE
Oswal Chemicals & Fertilizers Ltd.,CONSTRUCTION,BINDALAGRO
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS
PTC India Ltd.,ENERGY,PTC
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR
Page Industries Ltd.,TEXTILES,PAGEIND
Parsvnath Developer Ltd.,CONSTRUCTION,PARSVNATH
Patel Engineering Ltd.,CONSTRUCTION,PATELENG
Peninsula Land Ltd.,CONSTRUCTION,PENINLAND
Pennar Industries Ltd.,METALS,PENIND
Persistent Systems Ltd.,IT,PERSISTENT
Petronet LNG Ltd.,ENERGY,PETRONET
Pfizer Ltd.,PHARMA,PFIZER
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND
Pipavav Defence and Offshore Engineering Company Ltd.,INDUSTRIAL MANUFACTURING,PIPAVAVDOC
Piramal Enterprises Ltd.,PHARMA,PEL
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND
Prakash Industries Ltd.,METALS,PRAKASH
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE
Prism Cement Ltd.,CEMENT & CEMENT PRODUCTS,PRISMCEM
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH
Punj Lloyd Ltd.,CONSTRUCTION,PUNJLLOYD
Punjab National Bank,FINANCIAL SERVICES,PNB
Puravankara Projects Ltd.,CONSTRUCTION,PURVA
Radico Khaitan Ltd,CONSUMER GOODS,RADICO
Rain Industries Ltd,CHEMICALS,RAIN
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI
Raymond Ltd.,TEXTILES,RAYMOND
Redington (India) Ltd.,SERVICES,REDINGTON
Reliance Capital Ltd.,FINANCIAL SERVICES,RELCAPITAL
Reliance Communications Ltd.,TELECOM,RCOM
Reliance Industrial Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,RIIL
Reliance Industries Ltd.,ENERGY,RELIANCE
Reliance Infrastructure Ltd.,ENERGY,RELINFRA
Reliance Power Ltd.,ENERGY,RPOWER
Religare Enterprises Ltd.,FINANCIAL SERVICES,RELIGARE
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME
Rico Auto Industries Ltd.,AUTOMOBILE,RICOAUTO
Rolta India Ltd.,IT,ROLTA
Ruchi Soya Industries Ltd.,CONSUMER GOODS,RUCHISOYA
